file,r_i_glide_gscore,r_i_docking_score
G199-3612,-9.97239809466643,-9.55289809466643
D666-0087,-9.5652350970467,-9.5470350970467
6208-0118,-9.54026186390939,-9.54026186390939
Y020-5023,-9.5339945079143,-9.5339945079143
G642-5711,-9.5337091656492,-9.5337091656492
C561-2925,-9.53039302595401,-9.53039302595401
P097-1852,-9.52537286335343,-9.52537286335343
1151-0141,-9.52439274227305,-9.52439274227305
G938-1461,-9.56792943797335,-9.52072943797335
Y021-0839,-9.51086526446077,-9.51086526446077
N027-0009,-9.55017774755329,-9.51047774755329
2293-2970,-9.51031250403551,-9.51031250403551
0083-0031,-9.51211198087789,-9.50281198087789
D300-0082,-9.57744039732998,-9.49834039732998
6216-0075,-9.49741416550595,-9.49661416550595
C301-1002,-9.83684476335128,-9.48534476335128
M628-0343,-9.48448412914415,-9.48448412914415
F571-0628,-9.9051495296499,-9.4842495296499
S664-1738,-9.48090748471777,-9.48030748471777
4673-0552,-9.46211910254264,-9.46211910254264
F471-0739,-9.46051752926049,-9.45991752926049
D715-0302,-9.45277018965773,-9.45277018965773
G642-5865,-9.45146765897207,-9.45146765897207
Y070-4692,-9.62888485070227,-9.44418485070227
G199-2073,-9.84672438087072,-9.43612438087072
C597-0334,-9.43434686824551,-9.43434686824551
M628-0241,-9.43659728345072,-9.43069728345072
C463-0313,-9.51541002915735,-9.43051002915735
D600-0223,-9.42964782262797,-9.42964782262797
6114-0178,-9.54767114746737,-9.42097114746737
F431-0235,-9.40586990822896,-9.40586990822896
D077-0105,-9.39744697597873,-9.39744697597873
D077-0391,-9.39413325244046,-9.39413325244046
4808-0482,-9.3927831001068,-9.3927831001068
F431-0584,-9.38742677113327,-9.38742677113327
Y200-3073,-9.38606989460276,-9.38606989460276
M628-0141,-9.3852306288522,-9.3852306288522
6434-3555,-9.38128344641379,-9.38128344641379
D383-0092,-9.37184319694969,-9.37184319694969
C592-3825,-9.36927098254597,-9.36927098254597
6055-0128,-9.36221886299963,-9.36221886299963
C301-8932,-9.35935427362435,-9.35935427362435
D437-0202,-9.36534620502601,-9.35934620502601
G365-0266,-9.76378895785745,-9.35308895785745
D600-0230,-9.3489278451648,-9.3489278451648
Y020-5170,-9.34697962355838,-9.34577962355837
6055-0135,-9.34700033484187,-9.34340033484187
Y020-9736,-9.34290211060875,-9.34290211060875
C597-0248,-9.34205607780692,-9.34205607780692
D016-0642,-9.5309739319301,-9.3408739319301
D077-0401,-9.33773010589944,-9.33773010589944
D077-0356,-9.33568067130066,-9.33568067130066
1690-0054,-9.33052451431631,-9.33022451431632
Y020-2514,-9.33552021682811,-9.32992021682811
G856-8310,-9.32925143100344,-9.32925143100344
0717-0926,-9.32774339401001,-9.32774339401001
T956-0078,-9.47935200668712,-9.32455200668712
3966-4547,-9.32489726138153,-9.32189726138153
C276-0247,-9.3173417217829,-9.3167417217829
C151-0405,-9.31588921070617,-9.31588921070617
P097-2048,-9.31483825870371,-9.31483825870371
T226-1000,-9.32070721873603,-9.31480721873602
3966-4547,-9.3174493750028,-9.3144493750028
C561-3025,-9.32787360250864,-9.31437360250864
C301-6568,-9.30881766314279,-9.30881766314279
G642-5711,-9.30704289258341,-9.30704289258341
Z250-1645,-9.32379138340162,-9.30499138340162
M628-0781,-9.30425236917724,-9.30425236917724
L390-2689,-9.30399377944232,-9.30399377944232
G642-5865,-9.3037171597099,-9.3037171597099
5042-0535,-9.30350307257517,-9.30350307257517
1326-0997,-9.30273725747583,-9.30273725747583
V015-3325,-9.30163968775514,-9.30163968775514
G199-2096,-9.79752244084022,-9.29762244084022
F389-0607,-9.29867513505717,-9.29457513505717
6434-3569,-9.29280613568043,-9.29280613568043
2676-0010,-9.29249891481087,-9.29249891481087
6434-3551,-9.29223721145222,-9.29223721145222
Y020-4514,-9.29175253918955,-9.29175253918955
F389-0157,-9.29359976675018,-9.29169976675018
S625-0196,-9.44483995277592,-9.29003995277592
G642-6089,-9.28862167516603,-9.28862167516603
Y020-4485,-9.28644542001826,-9.28604542001826
G656-1256,-9.2839144922022,-9.2839144922022
6055-0092,-9.28494493449128,-9.28134493449128
5537-0022,-9.28092408795251,-9.28092408795251
6401-0049,-9.28021644401635,-9.27991644401635
E843-1046,-9.28187805972992,-9.27977805972992
E760-5003,-9.28776694743386,-9.27886694743385
6055-0143,-9.27721558820584,-9.27721558820584
L322-0370,-9.27715532829745,-9.27715532829745
L390-2620,-9.27710190135459,-9.27710190135459
J108-0008,-9.27550369228299,-9.27550369228299
4861-0063,-9.27616943193858,-9.27406943193858
D077-0101,-9.27099258541172,-9.27099258541172
J108-0513,-9.26966171478061,-9.26966171478061
0959-0006,-9.269567257841,-9.269567257841
Y021-0741,-9.26804196881911,-9.26774196881911
M628-0235,-9.60266199721751,-9.26026199721751
C498-0004,-9.25976610400748,-9.25976610400748
C301-8653,-9.25959973048247,-9.25959973048247
Y020-9528,-9.2588216249205,-9.2588216249205
D437-0149,-9.25868583364793,-9.25868583364793
Y020-5957,-9.25823911463806,-9.25823911463806
C453-0112,-9.25784955754295,-9.25764955754295
L438-0263,-9.25555492188165,-9.25555492188165
5629-0266,-9.2554491765685,-9.2554491765685
C276-0325,-9.25582568611554,-9.25512568611554
G365-0331,-9.79968337328374,-9.25338337328374
V030-9110,-9.25230956243091,-9.25230956243091
6055-0099,-9.2508573216024,-9.2508573216024
1317-0416,-9.25080125137723,-9.25080125137723
T226-0980,-9.24838983758655,-9.24838983758655
M628-0321,-9.35762612228816,-9.24622612228816
D077-0402,-9.24498222709275,-9.24498222709275
S620-1607,-9.81682893472329,-9.24342893472329
C597-0353,-9.24306234715528,-9.24306234715528
F389-0151,-9.23913233043391,-9.23893233043391
Z218-0887,-9.6458531018185,-9.2351531018185
T226-1147,-9.23488738334979,-9.23488738334979
C453-0110,-9.23161980972763,-9.23141980972763
N027-0016,-9.27004147375797,-9.23034147375797
F471-0843,-9.22902762265901,-9.22842762265901
D600-0650,-9.22685803497805,-9.22685803497805
6434-3531,-9.22644031629666,-9.22644031629666
F471-0737,-9.22698756331726,-9.22638756331726
