file,r_i_glide_gscore,r_i_docking_score
5629-0267,-7.82770893546418,-7.82770893546418
8020-2681,-8.23835509599108,-7.82765509599108
V008-1295,-7.82764999069492,-7.82764999069492
K832-1119,-7.83533774799755,-7.82763774799755
Y040-5909,-7.82759950933983,-7.82759950933983
C498-0472,-7.84453399145407,-7.82753399145407
4476-0687,-7.92269767539805,-7.82749767539805
2357-3235,-8.23814852649551,-7.82744852649551
F414-0847,-8.60219356268551,-7.82739356268551
C151-0237,-7.88677204649318,-7.82737204649318
E750-0320,-7.82729528968302,-7.82729528968302
D429-0217,-7.82726875710302,-7.82726875710302
F353-0222,-7.8275442775347,-7.8272442775347
1615-0026,-7.82702754494966,-7.82702754494966
Y020-7499,-7.827006188922,-7.827006188922
3410-2542,-7.82695233324453,-7.82695233324453
E139-0199,-7.82691285015196,-7.82691285015196
C547-0266,-7.82684868191827,-7.82684868191827
Y041-6147,-8.23729078658354,-7.82659078658354
G843-1195,-7.82655566904456,-7.82655566904456
3331-1542,-7.82654215366478,-7.82654215366478
5436-0915,-7.82649887559653,-7.82649887559653
V023-1288,-7.87458358443495,-7.82648358443495
P597-0192,-7.8546973637124,-7.8263973637124
7541-0108,-7.82625731523091,-7.82625731523091
5282-0588,-7.82619587519981,-7.82619587519981
V022-9006,-7.88056865890353,-7.82616865890353
F993-0303,-7.8260753376346,-7.8260753376346
1545-0204,-7.8260638161714,-7.8260638161714
V018-9047,-7.82604223571427,-7.82604223571427
E461-0631,-7.83556488223913,-7.82596488223913
G639-1617,-8.16654489849371,-7.82584489849371
F484-0375,-7.93929457291865,-7.82579457291865
4153-0019,-7.82908912550142,-7.82578912550142
C200-7144,-8.23646780212812,-7.82576780212812
E201-0315,-7.82575151815323,-7.82575151815323
T652-0301,-8.10322697064896,-7.82572697064896
3347-3522,-7.82569859707796,-7.82569859707796
1778-0704,-7.82713446285604,-7.82563446285604
F993-0292,-7.82561605141298,-7.82561605141298
Y020-1478,-7.82588710998236,-7.82548710998236
0237-0104,-7.82542160343044,-7.82542160343044
G642-0965,-7.83421909408099,-7.82541909408099
T655-0204,-7.82509722830311,-7.82509722830311
C926-0387,-7.82492242981773,-7.82492242981773
Y040-1637,-7.88169839838946,-7.82489839838946
G642-6663,-7.82481843531487,-7.82481843531487
8020-2415,-7.94536871958248,-7.82466871958248
S641-0123,-8.98542339795461,-7.82462339795461
3331-3972,-7.82457160972846,-7.82457160972846
8020-0609F,-7.82443252576618,-7.82443252576618
P612-0430,-7.82502413458863,-7.82442413458863
M976-0167,-7.83282857005785,-7.82422857005785
G420-0383,-7.82421997108334,-7.82421997108334
P804-1298,-8.23601014728381,-7.82421014728381
Y040-1688,-7.89271523640521,-7.82381523640521
G587-0470,-7.82372407324712,-7.82372407324712
3229-2202,-7.82335136192718,-7.82335136192718
D715-2528,-7.97448124120253,-7.82328124120253
D086-0194,-8.18607231542584,-7.82327231542584
K227-0613,-7.82320236076442,-7.82320236076442
2265-3159,-9.0700042450407,-7.8231042450407
C303-0668,-7.83763309681075,-7.82303309681075
8020-2401,-7.8280721146318,-7.8229721146318
6672-0252,-7.82296131448309,-7.82296131448309
Y020-0508,-7.97127228019353,-7.82277228019353
D146-0090,-7.82274629719641,-7.82274629719641
D389-1032,-7.82631277770885,-7.82271277770885
F264-0071,-7.82257030546063,-7.82257030546063
M976-0299,-7.82252963479401,-7.82252963479401
F542-0112,-7.82251515048772,-7.82251515048772
3389-2435,-7.82247590035814,-7.82247590035814
E139-0565,-7.82834053390138,-7.82244053390138
Y040-2445,-7.82228988446294,-7.82228988446294
3260-0454,-7.82225585915198,-7.82225585915198
E746-0772,-7.82223283952049,-7.82223283952049
Z632-6439,-8.23289378127043,-7.82219378127042
Y020-1396,-7.82216728900213,-7.82216728900213
P804-1261,-8.23381792512439,-7.82201792512439
C611-0649,-7.84294739546613,-7.82194739546613
C611-0437,-7.93179850687042,-7.82189850687042
C593-0973,-7.82180208785666,-7.82180208785666
M510-0173,-7.82429248213995,-7.82169248213995
4477-2569,-7.82166038760867,-7.82166038760867
P759-1377,-8.23201601948981,-7.8213160194898
G430-2711,-7.8211271497934,-7.8211271497934
C547-0340,-7.86211001497115,-7.82081001497115
G205-0640,-7.82084066497856,-7.82054066497856
E139-0358,-7.82258949774847,-7.82048949774847
G714-0068,-7.82045735488139,-7.82045735488139
P597-0490,-7.84866260966149,-7.82036260966149
3448-4327,-7.82036058717253,-7.82036058717253
M621-0134,-7.82083408542617,-7.82033408542617
G611-1078,-7.82026421786008,-7.82026421786008
Y021-0693,-7.8202257438372,-7.8202257438372
V027-4324,-7.82015171877098,-7.82015171877098
4789-4004,-7.82006906831843,-7.82006906831843
G642-6743,-8.6768094126382,-7.8194094126382
F527-0290,-7.8194030669513,-7.8194030669513
Y020-2655,-8.0509268067761,-7.8192268067761
C265-0322,-7.81895097714329,-7.81895097714329
V022-3751,-7.90408907161015,-7.81888907161015
G786-1936,-8.06497685766714,-7.81887685766714
G639-1666,-8.15951116687393,-7.81881116687393
Y010-0302,-7.8372454456221,-7.8187454456221
E856-0108,-7.81869068214446,-7.81869068214446
L880-0287,-7.81865939317682,-7.81865939317682
G540-0456,-7.8198564962518,-7.8186564962518
G491-0292,-7.8182509198418,-7.8182509198418
Y040-1637,-7.8749733812508,-7.8181733812508
C265-0310,-7.81811217705227,-7.81811217705227
K018-0012,-7.83843031267253,-7.81803031267253
G420-0696,-7.81786740096093,-7.81786740096093
2279-0395,-7.8833440865857,-7.8175440865857
L880-0301,-7.81724716410606,-7.81724716410606
G430-2862,-7.81747143957744,-7.81717143957744
3346-0720,-7.81716548450923,-7.81716548450923
C301-7786,-7.81714885968604,-7.81714885968604
3141-0518,-7.83789912087544,-7.81709912087544
6395-0039,-7.81702583652553,-7.81702583652553
Y070-2828,-7.81698395773154,-7.81698395773154
C066-2422,-8.18626342221386,-7.81696342221386
C593-0973,-7.81695236981664,-7.81695236981664
V020-6385,-8.20964607963611,-7.81694607963611
P804-0069,-8.06411306090451,-7.81681306090451
4341-1206,-7.81678501217172,-7.81678501217172
C593-0574,-8.03618115907386,-7.81668115907386
D358-0853,-7.81663297259714,-7.81663297259714
V018-3328,-7.81656559173942,-7.81656559173942
T742-0024,-8.06350543167976,-7.81650543167976
G192-0164,-8.22712822876832,-7.81642822876832
L880-0312,-7.81641181529723,-7.81641181529723
F218-0345,-7.81635700319017,-7.81635700319017
3570-0374,-7.81632854838666,-7.81632854838666
C301-1707,-7.8162467166505,-7.8162467166505
D353-0739,-7.81601792906359,-7.81601792906359
D724-0421,-7.81596454534197,-7.81596454534197
4546-0011,-7.81595060225125,-7.81595060225125
S039-3137,-8.21978468153522,-7.81568468153522
D358-1233,-7.81553421364844,-7.81553421364844
Y040-2638,-7.93690121848906,-7.81550121848905
D389-0649,-7.82065556815955,-7.81545556815955
D143-0038,-7.81541009754169,-7.81541009754169
S341-0597,-7.815359077122,-7.815359077122
Y040-3531,-8.00141060403667,-7.81531060403667
T842-1401,-8.62362995320509,-7.81512995320509
T629-2443,-8.15158561130647,-7.81498561130647
S539-0474,-8.22557317126785,-7.81487317126785
V021-6519,-7.82529369523504,-7.81479369523503
Y021-0752,-7.8208804116458,-7.8147804116458
Y041-2268,-7.81499946281889,-7.81469946281889
D074-0273,-8.18264952780319,-7.81464952780319
F018-3260,-8.41797209589034,-7.81457209589034
F825-0859,-8.22521220226875,-7.81451220226875
S539-1079,-7.81426320823563,-7.81426320823563
M976-0345,-7.8331505205151,-7.8142505205151
8020-4303,-7.94675529817013,-7.81395529817013
G642-0026,-7.81393293478685,-7.81393293478685
K229-1035,-7.81390463460624,-7.81390463460624
D443-1903,-7.81372492907657,-7.81372492907657
Y020-9042,-7.91511556556924,-7.81371556556924
K894-1581,-7.83445473805626,-7.81365473805626
P804-1285,-8.22288778540747,-7.81358778540747
G797-0143,-7.82076836168007,-7.81356836168007
D358-0032,-7.81925345943515,-7.81355345943515
E139-0228,-7.81352610987032,-7.81352610987032
G586-0246,-7.87833436455533,-7.81343436455533
F553-0150,-7.81342201898392,-7.81342201898392
F692-0266,-7.81331999608963,-7.81331999608963
S039-1685,-7.91386482916644,-7.81326482916644
K843-0077,-7.81303383888103,-7.81303383888103
5965-0167,-7.81300506842581,-7.81300506842581
D358-1186,-7.81295145386888,-7.81295145386888
1091-0052,-8.0719181479685,-7.8126181479685
6187-1538,-7.81252842553252,-7.81252842553252
8005-4257,-7.81243629420234,-7.81243629420234
5282-0911,-7.81242096328732,-7.81242096328732
F084-0044,-7.81237481056664,-7.81237481056664
Y041-6289,-8.56732445517592,-7.81222445517592
F517-0376,-7.81207602989001,-7.81207602989001
C926-0281,-7.81201213356151,-7.81201213356151
E139-0571,-7.81386915383562,-7.81176915383562
D724-0976,-7.97066034491035,-7.81146034491035
8004-6471,-7.81133374356779,-7.81133374356779
R091-0015,-7.81131418067765,-7.81131418067765
F720-0159,-7.81118017918382,-7.81118017918382
K788-4259,-7.81113234293218,-7.81113234293218
P804-1271,-8.23795066926186,-7.81105066926186
D367-0424,-7.81101489025816,-7.81101489025816
D645-0043,-8.22166984297552,-7.81096984297552
C305-1494,-7.81093428900241,-7.81093428900241
6187-1593,-7.81042586648123,-7.81042586648123
C926-0142,-7.81031785562648,-7.81031785562648
5436-1036,-7.81012921401602,-7.81012921401602
D367-0206,-7.81007421317662,-7.81007421317662
3346-0584,-7.81001593434782,-7.81001593434782
C265-0317,-7.80998875579926,-7.80998875579926
K227-0449,-7.80992263928582,-7.80992263928582
G417-0429,-7.8098395056822,-7.8098395056822
5436-0921,-7.80976878508653,-7.80976878508653
S360-0228,-7.80973617192112,-7.80973617192112
K227-0404,-7.80969081156491,-7.80969081156491
L386-0505,-7.80974922965984,-7.80964922965984
F059-0846,-8.23903282988213,-7.80943282988213
E475-0355,-7.80926135576039,-7.80926135576039
C593-1149,-7.85026858510248,-7.80916858510248
T817-0312,-7.80906408886281,-7.80906408886281
5311-0344,-7.80900396486292,-7.80900396486292
E461-0589,-7.81858823940829,-7.80898823940829
D343-0063,-8.86943024735792,-7.80893024735792
5867-4142,-7.80864173641275,-7.80864173641275
E139-0702,-7.81730364836862,-7.80860364836862
L977-1144,-7.85713603470969,-7.80853603470969
F668-0273,-7.80841690828673,-7.80841690828673
F145-0656,-7.94880309478696,-7.80840309478696
6049-1335,-7.80831000364054,-7.80831000364054
G420-0708,-7.80820562984936,-7.80820562984936
V027-4549,-7.80816080274846,-7.80816080274846
Z218-0854,-8.21872477127423,-7.80802477127423
D367-0350,-7.80788276790327,-7.80788276790327
R052-1966,-7.80773042863437,-7.80773042863437
3128-9159,-8.03310426810318,-7.80770426810318
C378-0605,-7.8076118167269,-7.8076118167269
D367-0018,-7.80758153894509,-7.80758153894509
V011-6614,-8.0556993857746,-7.8074993857746
4789-3976,-7.80739048120554,-7.80739048120554
K227-0195,-7.80730545143964,-7.80730545143964
Y020-1390,-7.80731707015893,-7.80701707015893
4076-0239,-8.21912331437552,-7.80692331437552
8211-0179,-7.80685590769452,-7.80685590769452
Z632-6078,-8.21722699614524,-7.80652699614524
4268-0192,-7.8065007363161,-7.8065007363161
Y040-3593,-7.91039450196426,-7.80649450196426
G642-0965,-7.81527203219005,-7.80647203219005
8004-5766,-7.80644050938053,-7.80644050938053
2049-0272,-7.81436771791747,-7.80626771791747
Y070-2907,-7.80623279898827,-7.80623279898827
7062-0641,-7.80610241619478,-7.80610241619478
4546-0005,-7.80605863211476,-7.80605863211476
7213-0736,-7.80633084987987,-7.80593084987987
C240-0074,-7.80592983442822,-7.80592983442822
3229-2677,-7.89675916309219,-7.80585916309219
G857-0915,-7.8058022124158,-7.8058022124158
G420-0278,-7.80577199485024,-7.80577199485024
C645-0209,-8.36019187700046,-7.80569187700046
C597-0330,-7.80750440446266,-7.80540440446266
4341-0007,-8.21625312941841,-7.80515312941841
4900-0005,-7.86103492797884,-7.80513492797884
C463-0299,-7.80623595227783,-7.80493595227783
C201-0796,-7.80455151499351,-7.80455151499351
G801-0503,-7.80451603717802,-7.80451603717802
4076-0301,-8.21758381824393,-7.80448381824393
L605-0509,-7.81063198523335,-7.80443198523335
G786-1932,-8.95170912967808,-7.80420912967808
L605-0469,-7.80717650918423,-7.80417650918423
G430-2679,-7.80408532453348,-7.80408532453348
D144-0228,-7.85892403322097,-7.80402403322097
T396-0380,-7.97648833467581,-7.80398833467581
D724-0306,-7.91888031355846,-7.80398031355846
F092-0419,-7.85642405013885,-7.80392405013885
K783-4625,-7.80387168915815,-7.80387168915815
Y020-1561,-7.86993251901445,-7.80363251901445
D143-0445,-7.80354907453222,-7.80354907453222
P611-0311,-7.80400181168443,-7.80350181168444
C202-3120,-7.80347890404468,-7.80347890404468
K229-0522,-7.80328871242024,-7.80328871242024
P328-1938,-7.80508369828105,-7.80328369828105
G639-0822,-8.11758732731508,-7.80318732731508
Z218-4485,-8.21386643650195,-7.80316643650194
K088-0219,-7.80259341585214,-7.80259341585214
G721-0132,-7.80249234234724,-7.80249234234724
D327-0099,-7.80243827192401,-7.80243827192401
8137-0359,-7.81382567976359,-7.80242567976359
V031-1557,-7.87069536607009,-7.80239536607009
M115-1139,-7.80237707022447,-7.80237707022447
P613-0343,-7.80259489587218,-7.80209489587218
M976-0026,-7.80205722341374,-7.80205722341374
Y070-2457,-7.80204464415916,-7.80204464415916
G199-1525,-8.22315304463801,-7.80195304463801
0812-1025,-7.82302034879765,-7.80192034879765
C547-0341,-7.88999491690582,-7.80189491690582
7610-2068,-7.80170726810372,-7.80170726810372
C623-1489,-7.80155375533486,-7.80155375533486
8020-3462,-8.22528656023479,-7.80148656023479
V003-9240,-8.2121217583673,-7.8014217583673
G435-1247,-7.80139082081085,-7.80119082081085
G433-0693,-7.94575153354375,-7.80115153354375
K807-0232,-7.80112631212825,-7.80112631212825
F813-2446,-7.8008866565503,-7.8008866565503
G642-7266,-7.80133282100893,-7.80073282100893
M976-0069,-7.80056702138409,-7.80056702138409
F406-0590,-7.81411656859631,-7.80051656859631
S836-4495,-7.80035572760002,-7.80035572760002
L324-0975,-7.80023803410582,-7.80023803410582
G674-0571,-7.89939642298264,-7.80019642298264
Y020-7697,-7.87357400014534,-7.80017400014534
0417-1741,-7.80004029453257,-7.80004029453257
5282-0784,-7.79998306738877,-7.79998306738877
C593-0914,-7.79989193805214,-7.79989193805214
D143-0447,-7.79983323852384,-7.79983323852384
D463-0081,-7.79972680490042,-7.79972680490042
Y020-9247,-7.79971607263254,-7.79971607263254
T396-1316,-7.95943916884088,-7.79963916884089
P937-4081,-8.60442759053662,-7.79952759053662
K227-0470,-7.79948942267817,-7.79948942267817
G491-0217,-7.80437012929537,-7.79947012929537
M414-3219,-7.8637568614019,-7.7991568614019
D143-0014,-7.79910112363264,-7.79910112363264
Y070-4663,-7.79909940871175,-7.79909940871175
C547-0284,-7.79907853738994,-7.79907853738994
D437-0337,-7.79905016204134,-7.79905016204134
G642-0267,-7.79889632075401,-7.79889632075401
F550-2397,-7.79888136195574,-7.79888136195574
8006-0438,-7.79857795570631,-7.79857795570631
T842-0115,-8.34270678624176,-7.79850678624176
G786-1029,-7.84661898627036,-7.79841898627036
3559-4009,-7.92671216420005,-7.79841216420005
6304-0066,-7.79824096757472,-7.79824096757472
C260-0862,-7.79786008791172,-7.79786008791172
Y041-7821,-7.80684205935392,-7.79784205935392
2699-0219,-7.79779536559639,-7.79779536559639
1756-0141,-7.79779205838591,-7.79779205838591
8004-0497,-7.79766278186428,-7.79766278186428
G430-1002,-7.81011168917843,-7.79761168917843
Y020-2581,-7.86378246205136,-7.79748246205136
D715-1215,-8.8345826702699,-7.7973826702699
G192-0528,-8.20791961900435,-7.79721961900435
D367-0124,-7.79700613583366,-7.79700613583366
D143-0182,-7.79700532045582,-7.79700532045582
D718-1526,-8.43459103369178,-7.79689103369178
P349-2317,-7.7968791550144,-7.7968791550144
F264-0062,-7.79687479331427,-7.79687479331427
G856-3968,-7.79986517478359,-7.79686517478359
C489-0378,-7.79664995048002,-7.79664995048002
F477-0012,-7.79647636757086,-7.79647636757086
G717-5197,-8.19236519839701,-7.79636519839702
P425-0101,-7.82056247061572,-7.79636247061572
4789-3984,-7.79629930384099,-7.79629930384099
G330-0322,-8.03864564070022,-7.79624564070022
C547-0262,-7.79624415912334,-7.79624415912334
C593-0658,-7.79650786136611,-7.79620786136611
3474-0003,-7.80375027689323,-7.79615027689323
M976-0526,-7.7961028791992,-7.7961028791992
Y020-4721,-7.81778490187014,-7.79608490187014
8009-6758,-7.7959684254109,-7.7959684254109
D487-0147,-7.79590406482794,-7.79590406482794
K227-0591,-7.795758108045,-7.795758108045
M976-0595,-7.79574775336448,-7.79574775336448
Y300-3489,-7.79572528953756,-7.79572528953756
4593-2817,-7.8001125866623,-7.7956125866623
G721-0578,-7.79549349451986,-7.79549349451986
4236-1043,-7.80965985934073,-7.79535985934073
G768-2047,-8.13402941579634,-7.79532941579634
F264-0105,-7.7952899633361,-7.7952899633361
Y020-9319,-7.79497704093357,-7.79497704093357
Y020-7378,-7.79495682526219,-7.79495682526219
1699-1424,-7.79480576354878,-7.79480576354878
F985-0945,-7.79679112215597,-7.79479112215597
K227-0344,-7.79474380684137,-7.79474380684137
V031-1599,-7.92441995007655,-7.79471995007655
K906-4586,-7.79568039748225,-7.79468039748225
8020-3308,-8.06417760380058,-7.79457760380058
G192-0523,-8.20525141129155,-7.79455141129155
F127-0359,-7.79437361117905,-7.79437361117905
Y041-0870,-7.79416254999883,-7.79416254999883
K832-1136,-7.88113357333208,-7.79403357333208
K783-0584,-7.80074973845106,-7.79394973845106
J106-0217,-7.80294281930936,-7.79394281930936
L849-0702,-7.79391514731854,-7.79391514731854
1653-0081,-7.79382704422799,-7.79382704422799
5847-0306,-8.02700505342503,-7.79370505342503
C090-0163,-7.85008450488748,-7.79368450488748
6187-1801,-7.79367423374451,-7.79367423374451
L924-0760,-7.96669493203524,-7.79359493203524
6672-0142,-7.79340944940071,-7.79340944940071
1509-0011,-7.7933642263455,-7.7933642263455
C448-0319,-7.79335570474944,-7.79335570474944
Z218-4489,-8.20395628972854,-7.79325628972854
M100-0483,-8.28114908733536,-7.79324908733536
G786-1934,-8.01950998987459,-7.79320998987459
F018-1506,-7.79306746052387,-7.79306746052387
3042-5178,-7.81676790271362,-7.79296790271362
S368-0654,-7.79280112701248,-7.79280112701248
Y020-9484,-7.79298357193712,-7.79278357193712
K075-5756,-7.81619387391753,-7.79269387391753
5311-0348,-7.79261825115551,-7.79261825115551
K405-3686,-7.79296028011166,-7.79256028011166
5629-0691,-7.79253987298509,-7.79253987298509
F353-0712,-7.80514295644473,-7.79244295644473
F264-0110,-7.79237062656937,-7.79237062656937
C593-0807,-7.79250956359411,-7.79230956359411
C547-0341,-8.96506061258651,-7.79226061258651
0466-0231,-7.7921966476593,-7.7921966476593
D300-0295,-7.84147411167531,-7.79207411167531
P809-0930,-7.88350935413119,-7.79200935413119
F264-0068,-7.79182433512605,-7.79182433512605
Y010-0302,-7.81026505146782,-7.79176505146782
G417-0279,-7.79175759972403,-7.79175759972403
3042-5180,-7.8077229160255,-7.7917229160255
Z632-6020,-8.20209755420736,-7.79139755420736
C927-0141,-7.79126018963966,-7.79126018963966
G298-0375,-7.79113494064655,-7.79113494064655
4513-1294,-7.79108623739902,-7.79108623739902
G864-0115,-7.79091106715635,-7.79091106715635
F742-0095,-7.79086242345393,-7.79086242345393
E746-0735,-7.79086133958614,-7.79086133958614
D367-0298,-7.7907911610396,-7.7907911610396
Y020-2647,-7.85708566374497,-7.79078566374497
Y070-3102,-7.79066517170999,-7.79066517170999
M512-0127,-8.20120711747885,-7.79050711747885
C920-1260,-7.79039145494099,-7.79039145494099
K075-1457,-7.79019471664333,-7.79019471664333
Y040-0026,-7.93882855575838,-7.79012855575838
6903-0002,-7.79036298800157,-7.79006298800157
K832-3002,-7.87711662069129,-7.79001662069129
2110-0301,-8.22859505061788,-7.78989505061788
8563-0703,-7.79027396174164,-7.78987396174164
C202-3423,-7.79781280461198,-7.78981280461198
C800-0448,-7.7897656209855,-7.7897656209855
D143-0178,-7.78971033515431,-7.78971033515431
G801-0933,-7.80047581782476,-7.78957581782476
P073-0372,-7.78950481613179,-7.78950481613179
C887-1223,-7.79782669409851,-7.78932669409851
5593-2280,-8.4695747470863,-7.7892747470863
5593-2280,-8.4695747470863,-7.7892747470863
C448-0319,-7.7891669659394,-7.7891669659394
M976-0279,-7.78911288480816,-7.78911288480816
C620-0351,-7.78904642251051,-7.78904642251051
E235-1210,-7.78902110257451,-7.78902110257451
Z218-0109,-8.19967345885464,-7.78897345885464
C547-0327,-7.78887177657882,-7.78887177657882
G275-1270,-8.18178687073582,-7.78878687073582
D718-1473,-7.78876839053558,-7.78876839053558
G574-0451,-7.78873278536217,-7.78873278536217
Y040-1513,-7.7885904640303,-7.7885904640303
2062-1307,-7.7885685395447,-7.7885685395447
G843-0622,-7.78839365345959,-7.78839365345959
C066-2433,-7.78811470031186,-7.78811470031186
Y020-9058,-8.19254931514697,-7.78804931514697
Y200-6900,-7.78785994691607,-7.78785994691607
3448-3394,-7.78776808590219,-7.78776808590219
E762-0744,-7.78764621752279,-7.78764621752279
C850-0255,-7.78752874752033,-7.78752874752033
3042-5181,-7.80507753110878,-7.78737753110878
5339-0017,-7.78736770358305,-7.78736770358305
Y020-7374,-7.78733295411246,-7.78733295411246
F113-0672,-7.79271388215823,-7.78731388215823
P759-1954,-8.19795468098402,-7.78725468098402
3062-0585,-7.78719005789927,-7.78719005789927
E213-0070,-8.19757259938813,-7.78687259938813
D519-0370,-7.7867922212191,-7.7867922212191
G883-0027,-7.78676377859193,-7.78676377859193
J099-0097,-7.78673125466025,-7.78673125466025
C547-0428,-7.7867133014385,-7.7867133014385
2188-2758,-7.81793849707026,-7.78663849707026
6187-1798,-7.78700384968898,-7.78650384968898
6016-3227,-7.78646368485859,-7.78646368485859
G433-0348,-7.80419161922647,-7.78639161922647
F506-0159,-7.78631887431049,-7.78631887431049
Y020-9476,-7.78631703751709,-7.78631703751709
G587-0519,-7.78658079077251,-7.78628079077251
Y020-9103,-7.78554345485102,-7.78554345485102
G192-0247,-8.19634492774805,-7.78524492774805
G622-0931,-7.78518002988191,-7.78518002988191
1770-0222,-7.79362304520132,-7.78502304520132
V004-8963,-8.19562774480397,-7.78492774480397
G192-0532,-8.19561522431789,-7.78491522431789
L880-0331,-7.78487423018301,-7.78487423018301
0576-0012,-8.40474675579506,-7.78454675579506
L413-0143,-7.78453009085524,-7.78453009085524
P809-1131,-8.20862248215003,-7.78432248215003
C463-0336,-7.78409556589357,-7.78409556589357
V016-4673,-7.92054873024803,-7.78404873024803
Y020-4362,-7.85598845305798,-7.78398845305798
P814-5423,-7.78386606494394,-7.78386606494394
F153-0104,-7.79124687323201,-7.78384687323201
E856-2295,-7.78362223560197,-7.78362223560197
M976-0163,-7.78354879567042,-7.78354879567042
CM3470-4991,-7.91849602684122,-7.78339602684122
D143-0444,-7.78332235100773,-7.78332235100773
2062-0281,-7.78311858170511,-7.78311858170511
4597-0430,-7.97670538363264,-7.78310538363264
D715-1072,-8.16544299774465,-7.78294299774465
8019-8236,-7.79189763812596,-7.78289763812596
L924-0884,-7.88494342584271,-7.78284342584271
G300-0676,-7.78280396754358,-7.78280396754358
D520-0490,-7.78275032321828,-7.78275032321828
G192-0521,-8.19341680711398,-7.78271680711398
R082-0004,-7.78270794246561,-7.78270794246561
K781-6459,-7.78396482100277,-7.78266482100277
C679-5303,-7.78262789785751,-7.78262789785751
D718-1733,-7.78321783794165,-7.78251783794165
2050-0165,-7.78224403636444,-7.78224403636444
E475-0576,-7.7822382660516,-7.7822382660516
E594-0163,-7.78250405833961,-7.78210405833961
G195-0076,-7.78184048000499,-7.78184048000499
L940-0037,-7.78433033076268,-7.78183033076268
8020-3433,-7.79003876219708,-7.78173876219708
M400-0169,-8.01171870821518,-7.78151870821518
C289-0069,-7.78727540956921,-7.78127540956921
Y020-0331,-8.23628578947005,-7.78108578947005
C926-0154,-7.78106473855629,-7.78106473855629
J019-0196,-7.78105617780815,-7.78105617780815
8451-05238,-7.78093708510772,-7.78093708510772
E139-0054,-7.78663362568544,-7.78073362568545
E543-0700,-7.78071264543868,-7.78071264543868
E543-0618,-7.78070811689429,-7.78070811689429
G642-0503,-7.78068092761315,-7.78068092761315
Y020-1654,-7.78066483686124,-7.78066483686124
C498-0066,-8.62789835026706,-7.78059835026706
S062-0142,-8.1911730717231,-7.7804730717231
C160-0032,-7.78041118041982,-7.78041118041982
L942-0049,-7.78019978720743,-7.78019978720743
C390-0607,-8.19089952226769,-7.78019952226769
C378-0605,-7.78019536206308,-7.78019536206308
F463-0005,-7.78672044434452,-7.77992044434452
F816-0513,-7.78185383441873,-7.77985383441873
G433-0684,-7.89094899112274,-7.77974899112274
F527-0287,-7.77974733203518,-7.77974733203518
G192-0038,-8.19042305347566,-7.77972305347566
C453-0261,-7.77963005313303,-7.77963005313303
Y070-2888,-7.77955348897042,-7.77955348897042
K832-4379,-7.80928305130275,-7.77948305130275
L218-0482,-7.89808503944511,-7.77938503944511
D358-1226,-7.7793795535288,-7.7793795535288
2699-0219,-7.77931636012588,-7.77931636012588
G856-6511,-7.77920751578385,-7.77920751578385
V031-2204,-7.88889364874471,-7.77909364874471
C090-0358,-7.77891079494798,-7.77891079494798
S539-1080,-7.77884115501413,-7.77884115501413
0584-0603,-7.77881674482048,-7.77881674482048
M039-0390,-7.7866149712341,-7.7788149712341
5408-0017,-7.92145647287387,-7.77865647287387
C265-0468,-7.77850201985405,-7.77850201985405
0627-0007,-7.77845616459282,-7.77845616459282
K788-5596,-7.78357272372163,-7.77827272372163
G786-1785,-7.77850504941592,-7.77820504941592
E139-0174,-7.78007267553177,-7.77797267553177
G205-0856,-7.77783866976075,-7.77783866976075
L482-0387,-7.93865074349002,-7.77765074349002
3474-0003,-7.78505029638001,-7.77745029638001
D463-0085,-7.7774467485764,-7.7774467485764
V029-1256,-8.30304080677038,-7.77734080677038
0434-0021,-8.16692070182449,-7.77732070182449
6466-1784,-7.77717643486011,-7.77717643486011
K286-3555,-7.8540734185058,-7.7771734185058
Y020-1027,-7.84330213285417,-7.77700213285417
D724-0464,-7.77699788975099,-7.77699788975099
Y041-0036,-7.78329451351696,-7.77699451351696
C786-4003,-7.77691095928765,-7.77691095928765
5165-0170,-7.7765995660836,-7.7765995660836
Y070-1999,-8.75423714597002,-7.77653714597002
3643-1826,-7.77650727280929,-7.77650727280929
2202-1172,-7.77630556743081,-7.77630556743081
C597-0650,-7.7762254941268,-7.7762254941268
6415-1468,-8.18724214276234,-7.77604214276234
6415-1468,-8.18724214276234,-7.77604214276234
L860-0265,-7.775998205435,-7.775998205435
L324-1426,-7.77597913264136,-7.77597913264136
6187-1943,-7.77571810834982,-7.77571810834982
P809-0755,-7.86716826353121,-7.77566826353121
8640-0685,-8.12466495765021,-7.77556495765021
V031-0554,-7.78510552879123,-7.77540552879123
M334-0003,-7.77523310388208,-7.77523310388208
C099-0732,-7.77512374938508,-7.77512374938508
D143-0012,-7.77507228137984,-7.77507228137984
R052-2722,-7.77497709293565,-7.77497709293565
L663-0079,-7.77495392211137,-7.77495392211137
Y200-1062,-7.77488950459797,-7.77488950459797
D367-0062,-7.95106401888348,-7.77486401888348
P076-0323,-7.7780295224572,-7.7746295224572
C597-0680,-7.7744300515042,-7.7744300515042
5436-1004,-7.77442567232208,-7.77442567232208
3448-2356,-7.77441219519136,-7.77441219519136
G417-0192,-7.77433680156618,-7.77433680156618
F601-0017,-7.7741310010141,-7.7741310010141
G421-0521,-7.96713231594286,-7.77403231594286
F414-0847,-8.35501577518056,-7.77401577518056
7752-0226,-7.77368886761012,-7.77368886761012
6764-0235,-7.77340746153047,-7.77340746153047
